id;identificador;ubicacion;latitud;longitud;municipio_id;provincia_id;id_departamento
1224;CBA384-01;;0;0;CBA384;AR-X;1401
569;SFE042-01;SUM;-31.954.167;-61.305.833;SFE042;AR-S;1693
1277;CBA071-01;;0;0;CBA071;AR-X;1382
1316;TUC100-01;;0;0;TUC100;AR-T;1648
1317;TUC100-02;;0;0;TUC100;AR-T;1648
208;TUC100-03;Plaza Gdor Critto;-26.852.627;-65.710.831;TUC100;AR-T;1648
913;SCR016-01;;-47.025.900;-67.247.908;SCR016;AR-Z;1607
798;SCR016-02;;-47.184.491;-67.142.626;SCR016;AR-Z;1607
334;COR019-01;;-28.172.889;-55.651.056;COR019;AR-W;1425
1026;CBA380-01;;0;0;CBA380;AR-X;1382
929;MZA003-01;Punto Digital;-32.914.748;-68.754.544;MZA003;AR-M;1517
153;MZA003-02;Mdza - Guaymallen;-32.899.573;-68.788.042;MZA003;AR-M;1517
1285;SFE182-01;;0;0;SFE182;AR-S;1685
1091;BUE043-01;;-36.022.218;-60.014.617;BUE043;AR-B;1237
604;CBA277-01;Dependencia Municipal;-32.247.500;-63.652.556;CBA277;AR-X;1388
883;BUE089-01;;-35.553.842;-60.560.544;BUE089;AR-B;1284
417;BUE089-02;Parque GraSM.;-35.438.139;-60.878.167;BUE089;AR-B;1284
881;BUE089-03;;-35.607.681;-60.917.092;BUE089;AR-B;1284
357;BUE089-04;Plaza Municipio;-35.444.056;-60.884.778;BUE089;AR-B;1284
418;BUE089-05;Plaza;-35.449.028;-60.897.917;BUE089;AR-B;1284
882;BUE089-06;;-35.237.794;-60.824.925;BUE089;AR-B;1284
416;BUE089-07;Plaza Esc Comer;-35.450.667;-60.882.917;BUE089;AR-B;1284
419;BUE089-08;Plaza Espana;-35.437.917;-60.881.611;BUE089;AR-B;1284
1193;ERI037-01;;0;0;ERI037;AR-E;1435
395;ERI037-02;Nogoya - Pza Francisco Ramirez;-32.396.826;-59.795.364;ERI037;AR-E;1435
938;ERI037-03;Punto Digital;-32.391.618;-59.799.701;ERI037;AR-E;1435
394;ERI037-04;Paseo de Los Puentes;-32.395.555;-59.759.957;ERI037;AR-E;1435
323;MIS028-01;C.I.C;-27.000.000;-55.000.000;MIS028;AR-N;1536
660;CHU008-01;Comuna;-43.000.000;-70.000.000;CHU008;AR-U;1368
306;CHA024-01;;-27.330.083;-61.277.694;CHA024;AR-H;1359
1268;CHA024-02;Plaza Meson de Fierro;-27.430.083;-61.017.066;CHA024;AR-H;1359
558;LAP075-01;Colonia Chica;-37.958.194;-67.825.556;LAP075;AR-L;1494
559;LAP075-02;;0;0;LAP075;AR-L;1494
369;LAP075-03;Colonia El Sauzal;-37.709.467;-67.742.389;LAP075;AR-L;1494
759;RNO028-01;;-41.851.986;-70.901.294;RNO028;AR-R;1576
1140;LAP029-01;;0;0;LAP029;AR-L;1477
856;SJU017-01;;0;0;SJU017;AR-J;1595
783;SJU017-02;;-30.634.528;-67.467.056;SJU017;AR-J;1595
927;MIS069-01;Punto Digital;-26.992.889;-54.485.026;MIS069;AR-N;1546
765;MIS069-02;C.I.C;-26.983.750;-54.471.167;MIS069;AR-N;1546
1181;CHA059-01;;0;0;CHA059;AR-H;1721
311;CHA059-02;;-26.870.918;-60.216.161;CHA059;AR-H;1721
1132;CHA059-03;;0;0;CHA059;AR-H;1721
1159;BUE007-01;;0;0;BUE007;AR-B;1202
483;BUE007-02;Punto Digital;-36.780.431;-59.860.255;BUE007;AR-B;1202
1183;CBA171-01;;0;0;CBA171;AR-X;1396
1124;CBA171-02;;0;0;CBA171;AR-X;1396
1182;CBA171-03;;0;0;CBA171;AR-X;1396
1174;SFE033-01;;0;0;SFE033;AR-S;1691
1172;SFE033-02;;0;0;SFE033;AR-S;1691
1173;SFE033-03;;0;0;SFE033;AR-S;1691
645;TUC082-01;;0;0;TUC082;AR-T;1654
458;BUE056-01;Zavalia VSAT;-34.894.291;-61.006.454;BUE056;AR-B;1250
1147;BUE056-02;;0;0;BUE056;AR-B;1250
240;BUE056-03;PD Gral Viamonte;-35.005.763;-61.051.801;BUE056;AR-B;1250
1066;BUE056-04;;-34.747.431;-60.988.806;BUE056;AR-B;1250
457;BUE056-05;San Emilio VSAT;-35.030.115;-60.864.322;BUE056;AR-B;1250
1067;BUE056-06;;-34.742.506;-60.991.765;BUE056;AR-B;1250
612;CBA415-01;;-32.234.324;-64.516.742;CBA415;AR-X;1391
941;CBA100-01;Punto Digital(Parque educativo Zona Noroeste);-31.315.716;-64.282.980;CBA100;AR-X;1406
942;CBA100-02;Punto Digital(Parque educativo Zona Sur);-31.467.620;-64.234.233;CBA100;AR-X;1406
103;CBA100-03;Plaza San Martin;-31.416.775;-64.183.668;CBA100;AR-X;1406
104;CBA100-04;Plaza de los Presidentes Argentinos Cordobeses  La Industria;-31.408.287;-64.183.825;CBA100;AR-X;1406
825;ERI160-01;;-33.013.056;-58.465.528;ERI160;AR-E;1433
226;ERI160-02;Pueblo General Belgrano;-31.859.397;-59.030.923;ERI160;AR-E;1433
1211;MIS052-01;;0;0;MIS052;AR-N;1541
160;MIS052-02;Punto Digital;-26.566.037;-54.769.589;MIS052;AR-N;1541
666;CHU028-01;Sede Comunal;-42.620.514;-68.904.394;CHU028;AR-U;1376
715;JUJ001-01;Municipalidad;-23.342.417;-66.090.194;JUJ001;AR-Y;1459
